USRID	RST
4703	1
4746	1
4747	0
4749	1
4776	0
4811	0
4812	0
4821	1
4823	1
4829	0
4846	0
4862	0
4867	0
4873	0
4890	0
4900	0
4907	1
4910	0
4914	1
4917	0
4933	0
4943	0
4967	1
4968	1
4976	0
4991	0
5020	1
5021	0
5022	0
5057	0
5064	0
5078	0
5079	1
5093	0
5102	0
5106	0
5134	0
5138	0
5143	0
5152	1
5154	1
5179	0
5185	0
5186	0
5194	0
5197	0
5199	0
5213	1
5214	0
5217	0
5232	0
5242	0
5250	0
5254	0
5272	1
5279	1
5283	0
5290	0
5295	1
5307	1
5315	0
5324	0
5340	1
5348	0
5364	0
5378	0
5388	0
5391	0
5393	0
5399	0
5415	1
5446	0
5472	0
5475	1
5485	1
5486	1
5491	0
5515	0
5532	0
5533	0
5538	1
5546	0
5550	0
5568	0
5576	0
5589	0
5592	0
5603	0
5607	1
5608	0
5632	0
5635	0
5636	1
5645	1
5657	0
5676	0
5681	0
5695	0
5703	1
5707	1
5711	0
5733	0
5740	0
5752	0
5774	0
5776	0
5789	1
5795	1
5809	0
5812	0
5815	0
5820	0
5832	0
5840	0
5856	1
5866	1
5872	0
5877	0
5878	0
5879	0
5912	0
5919	0
5920	0
5927	0
5935	0
5949	0
5953	0
5957	1
5974	0
5975	0
5980	1
5992	1
5995	0
6019	0
6033	0
6039	0
6041	0
6053	0
6054	0
6064	0
6068	0
6069	0
6090	0
6098	1
6125	0
6126	0
6135	0
6149	0
6154	0
6167	0
6170	0
6191	0
6192	0
6221	0
6248	0
6253	0
6265	1
6269	0
6300	0
6327	0
6332	0
6337	0
6363	0
6366	0
6397	0
6415	1
6420	0
6424	0
6431	0
6456	0
6460	0
6461	0
6463	0
6476	1
6498	0
6514	1
6519	0
6521	0
6543	0
6546	0
6562	0
6563	1
6588	0
6603	0
6613	0
6621	0
6623	1
6625	0
6636	0
6637	0
6654	0
6658	1
6660	0
6685	0
6706	1
6708	0
6727	0
6741	0
6754	0
6763	0
6777	0
6805	0
6809	1
6828	1
6841	0
6851	0
6855	1
6870	0
6872	0
6881	0
6885	0
6889	0
6890	0
6894	0
6896	0
6904	0
6909	0
6919	0
6921	0
6943	0
6956	0
6973	0
6982	0
6984	1
7016	0
7030	0
7035	0
7048	0
7063	1
7065	0
7071	0
7077	0
7078	1
7088	0
7090	0
7091	1
7118	1
7125	0
7126	0
7141	0
7143	0
7144	0
7159	0
7164	0
7212	0
7215	0
7230	0
7233	0
7234	0
7261	0
7268	0
7272	0
7275	0
7292	0
7303	0
7314	0
7330	0
7343	0
7368	1
7380	0
7389	0
7396	0
7398	0
7418	0
7426	0
7431	0
7434	0
7444	0
7458	0
7464	0
7472	0
7473	0
7477	0
7480	0
7481	0
7498	0
7510	0
7526	1
7535	0
7540	0
7543	1
7546	0
7559	0
7566	0
7568	0
7572	0
7586	0
7592	0
7595	0
7622	0
7623	1
7625	0
7626	0
7632	1
7633	0
7637	0
7644	0
7655	0
7680	0
7684	0
7706	1
7711	1
7737	1
7762	0
7763	0
7781	0
7787	0
7794	0
7795	0
7798	0
7801	0
7805	0
7813	0
7831	0
7850	0
7852	0
7854	0
7868	0
7873	0
7880	0
7889	0
7915	1
7919	0
7923	0
7927	1
7928	0
7940	1
7980	0
7984	1
7995	0
8055	0
8066	0
8077	0
8078	0
8084	1
8090	0
8103	0
8107	1
8108	0
8145	0
8151	1
8156	1
8157	0
8162	0
8186	0
8194	0
8197	0
8210	0
8213	0
8215	0
8225	0
8255	0
8257	0
8259	1
8270	0
8287	0
8291	0
8327	0
8345	0
8349	0
8353	0
8360	0
8366	0
8370	0
8378	0
8386	0
8394	0
8395	0
8419	0
8427	0
8428	0
8432	0
8435	0
8436	0
8444	0
8451	0
8457	0
8478	0
8488	1
8497	0
8506	0
8521	0
8529	1
8547	0
8569	0
8582	0
8587	0
8607	0
8612	0
8621	0
8630	0
8653	0
8677	0
8697	1
8698	0
8727	0
8732	0
8736	0
8747	0
8752	0
8755	0
8787	1
8792	0
8800	0
8806	0
8821	0
8836	0
8839	0
8840	0
8848	0
8871	0
8884	0
8890	0
8899	0
8900	0
8905	0
8906	0
8912	1
8915	0
8936	0
8947	0
8961	0
8968	0
8990	0
9007	1
9008	0
9026	0
9067	0
9073	0
9076	0
9087	0
9114	0
9122	0
9131	0
9146	1
9154	0
9166	1
9190	0
9199	0
9202	0
9218	0
9221	0
9231	0
9232	0
9233	0
9245	1
9252	0
9254	0
9260	1
9264	0
9272	0
9273	0
9284	0
9292	0
9293	0
9299	0
9304	0
9306	0
9307	0
9338	0
9363	0
9371	0
9376	0
9377	0
9380	0
9403	0
9417	0
9421	0
9433	0
9435	0
9450	0
9463	0
9470	0
9474	0
9485	0
9512	0
9519	1
9523	0
9548	1
9571	0
9584	0
9589	0
9632	0
9635	0
9645	1
9665	0
9669	0
9670	0
9678	0
9685	0
9706	0
9727	0
9750	1
9758	0
9764	0
9772	1
9777	0
9788	0
9816	0
9817	1
9828	0
9831	0
9835	0
9838	0
9841	0
9847	1
9867	0
9876	1
9892	0
9911	0
9923	1
9927	1
9939	0
9943	0
9950	0
9963	0
9964	0
9983	0
9994	0
9995	0
10005	0
10009	0
10018	0
10033	1
10036	0
10055	1
10062	0
10074	0
10098	0
10104	0
10111	0
10119	0
10129	1
10134	0
10137	1
10152	0
10168	0
10178	0
10181	1
10182	0
10191	1
10204	0
10230	0
10231	1
10235	0
10242	0
10250	0
10296	0
10297	0
10300	0
10301	1
10316	0
10320	0
10321	0
10343	0
10345	0
10351	0
10359	0
10380	1
10394	0
10422	0
10430	0
10467	1
10487	0
10490	0
10493	0
10507	0
10514	0
10519	0
10520	0
10537	1
10545	0
10564	0
10591	0
10625	1
10650	1
10653	0
10655	0
10656	0
10658	0
10659	0
10664	0
10670	0
10673	0
10677	0
10685	1
10711	0
10712	1
10728	0
10748	0
10754	0
10757	1
10770	0
10789	0
10796	0
10836	1
10852	0
10853	1
10865	0
10889	0
10897	0
10919	0
10933	0
10963	0
10964	1
10982	0
10985	1
10994	0
10999	0
11008	0
11011	0
11040	0
11064	0
11069	0
11073	0
11079	0
11099	0
11123	0
11130	1
11143	0
11159	0
11171	1
11176	0
11189	0
11193	0
11194	0
11196	0
11205	0
11211	0
11218	1
11228	0
11240	0
11245	0
11257	1
11267	0
11279	1
11292	0
11322	0
11325	0
11347	0
11349	1
11364	0
11368	0
11379	0
11389	0
11394	1
11408	1
11440	0
11447	0
11451	0
11452	0
11456	0
11464	0
11469	0
11476	0
11491	0
11500	0
11508	0
11510	1
11516	0
11517	0
11525	0
11540	0
11550	0
11551	0
11555	0
11562	0
11565	0
11571	0
11582	0
11583	1
11592	0
11597	0
11651	0
11667	0
11699	0
11717	0
11727	0
11728	0
11740	0
11742	1
11757	0
11764	0
11780	0
11795	0
11819	0
11825	1
11833	0
11841	0
11842	0
11846	0
11858	0
11869	1
11870	0
11893	0
11906	0
11908	0
11909	0
11912	0
11931	0
11940	0
11963	0
11987	1
11996	0
11999	0
12001	0
12035	0
12050	0
12061	1
12069	1
12080	1
12087	0
12103	1
12131	0
12163	0
12166	0
12184	0
12196	0
12219	0
12238	1
12244	0
12258	0
12259	0
12265	0
12270	0
12271	0
12278	0
12285	1
12301	0
12310	0
12320	0
12328	0
12337	0
12352	0
12353	1
12392	0
12395	0
12397	0
12400	0
12421	1
12450	1
12459	1
12488	0
12499	1
12502	0
12503	0
12532	0
12547	0
12551	0
12565	0
12572	0
12592	0
12603	0
12609	0
12613	0
12618	0
12619	1
12625	1
12635	1
12644	0
12656	0
12669	0
12687	0
12689	0
12691	0
12695	0
12698	1
12699	0
12702	1
12710	0
12721	0
12723	0
12731	1
12735	0
12752	0
12754	0
12768	0
12782	1
12785	0
12787	1
12791	0
12802	0
12805	0
12829	1
12841	1
12847	0
12867	0
12875	0
12908	0
12912	0
12929	0
12931	1
12941	0
12958	1
12963	1
12968	0
12978	0
12981	0
13002	0
13003	0
13027	1
13047	0
13079	0
13089	0
13099	0
13104	1
13106	0
13122	0
13138	0
13149	1
13183	0
13186	0
13207	0
13210	0
13214	1
13237	0
13238	0
13244	0
13246	0
13256	1
13264	0
13265	0
13268	0
13274	0
13275	0
13276	0
13283	0
13303	0
13304	0
13309	0
13313	1
13326	0
13333	0
13334	0
13355	1
13364	1
13368	1
13391	0
13409	0
13411	0
13417	0
13419	1
13427	0
13455	0
13458	0
13465	0
13470	0
13475	1
13485	1
13500	0
13506	0
13511	0
13525	0
13555	0
13575	0
13594	0
13595	1
13606	0
13630	0
13665	0
13674	0
13693	0
13698	0
13711	0
13734	0
13754	0
13758	1
13763	0
13796	0
13798	0
13811	0
13813	0
13825	1
13826	0
13837	0
13897	0
13925	1
13927	1
13979	0
13993	0
14012	1
14045	1
14047	0
14055	0
14060	0
14064	0
14081	0
14083	0
14091	0
14094	0
14098	0
14120	0
14131	0
14133	0
14139	1
14156	0
14160	0
14168	1
14174	0
14180	0
14181	0
14184	0
14209	0
14214	0
14224	0
14226	1
14236	0
14249	1
14252	0
14271	0
14287	0
14309	0
14324	0
14330	1
14361	0
14374	0
14405	1
14427	0
14436	0
14444	0
14448	0
14452	0
14460	0
14462	0
14466	1
14470	0
14476	0
14485	0
14488	0
14503	0
14531	0
14538	0
14550	0
14577	1
14580	0
14590	1
14617	0
14631	0
14635	0
14665	0
14673	0
14681	0
14683	1
14701	0
14707	0
14715	1
14719	0
14724	0
14730	0
14731	0
14733	0
14766	0
14767	1
14772	0
14773	1
14781	0
14804	0
14812	0
14827	0
14832	0
14862	1
14876	0
14879	0
14893	0
14895	0
14902	0
14917	0
14933	0
14945	0
14946	1
14961	0
14962	0
14977	0
14987	0
14993	0
14996	0
14999	0
15001	0
15011	0
15025	0
15028	0
15052	0
15057	1
15061	0
15081	1
15086	1
15092	0
15100	0
15102	0
15121	1
15122	0
15133	0
15149	0
15156	0
15172	1
15190	0
15198	0
15205	0
15213	0
15221	1
15233	0
15250	0
15258	0
15267	0
15273	0
15279	0
15297	0
15302	0
15303	1
15309	0
15315	0
15320	1
15326	0
15332	0
15340	0
15358	0
15369	1
15386	0
15391	0
15408	0
15413	0
15414	0
15418	0
15421	0
15427	0
15454	1
15463	0
15466	0
15470	0
15514	1
15522	0
15531	0
15560	1
15575	0
15582	0
15600	0
15615	0
15633	1
15647	0
15655	0
15658	0
15676	0
15694	0
15695	0
15699	0
15703	0
15717	0
15725	0
15727	1
15730	0
15753	0
15757	0
15775	1
15785	0
15812	0
15831	0
15846	1
15857	0
15872	0
15874	0
15902	0
15914	0
15918	0
15921	0
15923	0
15935	0
15938	0
15948	0
15955	0
15959	1
15960	0
15965	0
15967	0
15980	0
16021	0
16025	0
16028	0
16031	0
16042	0
16052	0
16053	0
16058	0
16080	0
16084	0
16101	0
16104	1
16108	0
16126	0
16137	0
16145	0
16162	0
16169	1
16177	0
16181	0
16182	0
16188	0
16189	0
16193	0
16194	0
16217	1
16218	0
16228	0
16229	0
16232	0
16233	0
16248	1
16255	0
16257	1
16269	1
16281	0
16288	0
16301	0
16315	1
16319	1
16337	1
16372	0
16391	0
16396	0
16398	0
16402	0
16434	0
16442	0
16459	1
16486	0
16505	1
16510	0
16517	1
16534	0
16537	1
16547	0
16577	1
16579	0
16585	1
16593	0
16596	0
16611	0
16621	0
16622	0
16633	0
16645	1
16659	0
16660	1
16662	0
16664	0
16668	0
16672	0
16673	0
16681	0
16689	0
16696	0
16707	1
16715	0
16723	0
16726	1
16750	0
16757	0
16758	0
16771	0
16772	0
16781	0
16794	0
16796	0
16798	0
16804	0
16825	0
16847	0
16852	0
16860	1
16864	0
16872	1
16880	1
16886	0
16893	0
16900	0
16911	0
16917	1
16918	0
16924	0
16925	1
16940	0
16951	0
16962	0
16964	0
16966	0
16967	0
16984	0
16991	0
16996	1
17000	1
17003	0
17039	0
17041	0
17047	1
17066	0
17068	1
17101	0
17104	0
17124	0
17135	0
17142	0
17144	0
17145	0
17163	0
17174	0
17200	0
17215	0
17222	0
17243	0
17251	1
17270	1
17289	1
17295	0
17298	0
17299	0
17318	0
17332	0
17350	0
17360	1
17379	0
17382	0
17393	0
17401	0
17410	1
17412	0
17416	0
17417	0
17424	0
17427	0
17431	0
17439	0
17449	0
17465	0
17466	0
17468	0
17493	0
17494	1
17512	0
17524	0
17530	0
17531	1
17540	0
17566	0
17583	0
17592	0
17602	0
17613	0
17615	0
17618	0
17644	0
17658	1
17667	1
17675	0
17689	0
17695	1
17696	0
17717	0
17740	0
17753	1
17777	0
17779	0
17790	0
17877	1
17916	0
17932	1
17944	1
17966	0
17970	0
17981	0
17991	0
18002	0
18038	1
18041	0
18055	0
18058	0
18062	0
18075	0
18091	1
18114	0
18126	0
18135	0
18138	0
18140	0
18166	0
18174	0
18183	0
18189	0
18204	1
18234	0
18241	1
18251	0
18268	1
18276	1
18286	1
18300	0
18311	1
18312	0
18313	0
18323	0
18327	1
18329	0
18337	0
18344	0
18351	0
18380	0
18384	0
18389	0
18390	1
18398	0
18400	1
18407	1
18418	0
18432	0
18434	1
18455	0
18457	1
18466	0
18475	0
18478	0
18506	0
18531	1
18532	0
18535	0
18541	0
18546	0
18584	0
18599	0
18603	0
18609	0
18621	0
18631	0
18638	0
18640	0
18650	0
18668	1
18672	0
18690	0
18700	0
18702	0
18705	1
18706	1
18712	1
18722	1
18729	0
18741	0
18747	0
18749	0
18755	0
18766	0
18800	0
18806	0
18829	1
18832	0
18834	1
18865	0
18871	0
18882	0
18900	1
18901	0
18902	0
18949	0
18963	0
18976	0
18998	0
19001	0
19004	0
19047	0
19055	0
19064	0
19065	0
19074	0
19098	0
19115	0
19119	0
19142	1
19160	0
19188	0
19222	0
19251	0
19277	0
19283	1
19289	0
19290	0
19308	0
19317	0
19346	0
19349	0
19370	0
19381	1
19405	0
19419	0
19420	0
19431	0
19453	0
19458	0
19492	0
19522	0
19526	0
19530	0
19553	0
19580	1
19605	0
19611	0
19614	0
19618	1
19624	1
19634	0
19643	1
19646	0
19701	1
19729	0
19739	0
19743	0
19753	1
19775	0
19783	1
19796	1
19798	0
19813	0
19816	0
19834	0
19840	0
19846	0
19861	0
19863	0
19880	1
19896	0
19899	1
19905	0
19918	0
19937	0
19939	0
19955	1
19962	1
19976	1
19983	0
19993	1
20023	0
20032	0
20045	0
20051	0
20054	0
20055	0
20067	0
20074	1
20080	0
20099	0
20105	0
20120	0
20124	0
20143	0
20153	1
20156	0
20169	0
20177	0
20180	0
20203	0
20205	0
20238	1
20239	0
20245	0
20252	0
20263	0
20268	0
20275	0
20283	0
20284	0
20328	0
20329	0
20340	0
20355	0
20357	1
20358	0
20364	0
20370	0
20373	0
20374	0
20391	1
20405	1
20413	0
20414	0
20419	0
20442	0
20458	0
20464	1
20466	1
20473	1
20474	1
20489	0
20493	0
20498	0
20506	0
20514	0
20518	0
20528	0
20548	0
20552	0
20553	0
20560	0
20562	1
20563	0
20568	0
20575	0
20590	0
20591	0
20622	0
20633	0
20635	0
20640	0
20658	0
20688	0
20694	0
20705	0
20708	0
20711	0
20720	0
20729	0
20733	1
20734	0
20752	0
20765	0
20773	0
20779	0
20781	0
20788	0
20793	0
20794	0
20795	0
20803	0
20812	0
20821	0
20822	0
20826	1
20864	0
20884	0
20885	0
20959	0
20973	0
20979	0
20985	0
20988	1
21001	0
21013	0
21026	0
21027	0
21034	0
21037	0
21038	1
21055	0
21060	0
21061	0
21066	0
21076	0
21077	0
21079	0
21084	0
21087	0
21122	0
21149	0
21158	0
21160	0
21177	0
21180	0
21184	0
21188	0
21225	0
21229	1
21248	0
21250	1
21262	0
21264	0
21285	0
21304	0
21327	0
21345	0
21360	1
21375	0
21412	0
21443	0
21447	0
21449	0
21451	0
21453	0
21455	0
21459	0
21465	0
21468	0
21478	0
21479	0
21485	0
21507	0
21523	0
21532	0
21535	1
21536	1
21546	0
21551	0
21559	0
21561	0
21562	0
21565	0
21567	0
21568	0
21577	0
21616	0
21618	1
21629	1
21658	0
21663	0
21664	0
21674	0
21686	0
21694	0
21696	1
21697	0
21735	0
21745	1
21759	0
21780	0
21786	0
21787	0
21796	0
21801	1
21821	0
21828	1
21843	0
21844	0
21845	0
21852	0
21855	0
21874	0
21897	0
21899	0
21901	0
21912	0
21956	0
21963	0
21965	0
21973	1
21990	0
21997	0
22015	0
22049	1
22089	0
22100	0
22105	0
22106	1
22114	0
22117	1
22125	0
22132	0
22136	0
22141	0
22159	0
22161	0
22181	0
22196	0
22205	0
22213	0
22232	0
22244	0
22255	0
22258	0
22284	0
22285	0
22287	1
22301	0
22326	0
22337	0
22339	0
22354	0
22355	1
22380	0
22388	0
22392	0
22397	0
22405	0
22420	1
22437	0
22442	0
22443	1
22454	0
22457	0
22470	0
22475	0
22482	0
22488	0
22491	0
22501	0
22503	1
22512	0
22519	0
22542	0
22545	0
22546	0
22549	0
22579	0
22607	0
22609	0
22621	0
22633	0
22635	0
22636	0
22656	1
22679	0
22681	0
22682	0
22711	1
22736	0
22738	0
22746	0
22750	0
22753	0
22758	0
22764	0
22784	1
22790	0
22795	0
22802	0
22812	0
22821	0
22858	0
22919	0
22925	0
22966	0
22982	0
22983	1
22987	0
23027	0
23034	0
23036	0
23062	0
23064	0
23071	0
23091	0
23102	0
23106	0
23123	0
23134	0
23150	0
23154	0
23163	0
23173	0
23183	0
23197	0
23201	0
23204	1
23206	0
23261	1
23270	0
23272	1
23280	1
23299	0
23313	0
23320	1
23335	0
23373	0
23378	0
23382	0
23401	0
23402	0
23406	0
23438	0
23440	0
23461	0
23471	1
23475	0
23509	1
23519	0
23535	0
23538	0
23545	0
23551	0
23552	0
23566	0
23569	0
23571	0
23578	0
23594	0
23611	0
23636	0
23650	0
23652	1
23680	1
23684	0
23699	0
23705	0
23708	0
23738	0
23755	0
23765	0
23772	0
23776	0
23777	0
23808	0
23822	0
23824	0
23828	0
23834	0
23838	0
23839	0
23842	0
23845	0
23853	0
23855	0
23864	0
23867	0
23881	0
23911	0
23918	0
23992	0
23997	0
24002	1
24059	0
24060	0
24069	1
24076	0
24078	0
24079	1
24081	0
24094	1
24135	0
24137	0
24156	0
24157	0
24158	0
24171	0
24189	0
24191	1
24195	0
24199	0
24202	0
24217	0
24219	0
24226	0
24238	0
24246	0
24257	0
24261	0
24273	0
24296	0
24297	0
24322	0
24341	0
24346	0
24360	0
24392	0
24394	1
24420	0
24434	0
24462	0
24479	0
24487	0
24490	1
24491	1
24500	0
24503	1
24507	0
24508	0
24514	1
24538	0
24593	1
24607	0
24613	0
24640	0
24645	0
24662	0
24672	0
24696	0
24712	0
24715	1
24719	1
24730	0
24751	1
24759	0
24775	0
24776	0
24785	0
24786	0
24793	0
24797	0
24798	0
24811	0
24821	0
24828	0
24830	0
24837	1
24841	0
24852	0
24855	0
24865	0
24876	0
24914	0
24918	1
24949	0
24967	0
24971	0
24976	0
24977	0
24982	0
24988	0
25005	0
25008	1
25016	1
25022	0
25024	0
25038	1
25054	0
25060	0
25070	0
25071	0
25075	0
25078	0
25090	0
25095	0
25137	0
25139	0
25150	0
25162	0
25173	0
25178	0
25191	0
25194	0
25200	0
25207	0
25210	0
25214	0
25235	0
25242	1
25243	0
25247	1
25248	0
25275	0
25276	0
25280	0
25301	0
25310	0
25327	0
25331	0
25342	1
25355	0
25366	0
25380	0
25383	0
25387	0
25407	0
25408	0
25416	0
25429	0
25436	0
25438	0
25452	1
25473	0
25507	1
25523	0
25534	0
25543	0
25545	0
25560	0
25562	0
25565	0
25574	0
25588	0
25596	0
25600	0
25605	0
25611	0
25619	0
25621	1
25627	1
25630	1
25635	1
25637	0
25646	1
25660	0
25664	0
25676	1
25698	0
25699	0
25702	0
25705	0
25713	0
25720	0
25725	1
25731	0
25737	0
25738	0
25739	0
25741	0
25748	0
25749	0
25757	0
25777	0
25789	0
25791	1
25797	0
25799	0
25807	0
25813	0
25821	0
25843	0
25845	0
25863	0
25869	0
25871	1
25875	0
25897	0
25902	0
25918	0
25932	0
25944	0
25952	0
25971	0
25978	0
26012	0
26030	0
26035	0
26041	0
26056	1
26068	0
26071	0
26078	0
26081	1
26084	0
26085	0
26095	0
26096	0
26098	0
26115	0
26117	0
26128	1
26130	0
26135	0
26143	1
26144	0
26155	0
26156	0
26157	0
26183	0
26196	0
26206	0
26226	0
26232	0
26234	0
26237	0
26238	0
26256	0
26274	0
26283	0
26294	0
26306	0
26317	0
26325	0
26334	0
26336	0
26346	1
26353	0
26354	0
26357	0
26364	0
26398	0
26427	0
26436	0
26437	0
26442	0
26444	0
26456	0
26463	0
26474	0
26520	0
26521	0
26522	1
26526	0
26530	0
26533	0
26565	0
26568	0
26573	1
26582	0
26586	0
26593	0
26594	0
26614	1
26622	0
26631	0
26634	0
26639	0
26649	1
26656	0
26675	0
26730	0
26757	0
26761	0
26767	0
26768	1
26769	1
26780	0
26789	0
26793	0
26813	0
26820	0
26825	1
26849	0
26855	0
26864	0
26874	0
26893	0
26896	0
26910	0
26916	0
26938	0
26939	0
26953	0
26959	1
26980	0
26982	1
26984	0
26990	0
26995	0
26998	0
26999	0
27003	0
27024	0
27032	0
27050	1
27058	0
27067	0
27075	0
27091	0
27093	0
27129	0
27132	0
27136	1
27137	0
27159	0
27160	0
27193	0
27201	0
27202	0
27205	0
27206	0
27213	0
27223	0
27236	1
27238	0
27256	0
27258	0
27266	0
27269	1
27277	0
27325	1
27330	0
27332	0
27333	0
27334	0
27361	0
27392	0
27398	0
27404	0
27411	0
27413	0
27415	1
27416	0
27419	0
27420	1
27441	1
27448	0
27452	0
27458	0
27488	0
27491	0
27510	1
27532	1
27536	0
27553	0
27561	0
27599	0
27611	0
27616	0
27617	0
27619	0
27638	0
27639	1
27640	0
27644	0
27650	0
27656	0
27665	0
27674	0
27712	0
27714	0
27717	0
27722	0
27728	0
27732	0
27751	0
27765	0
27767	1
27768	1
27783	0
27784	0
27799	1
27813	0
27838	0
27848	0
27863	0
27873	0
27891	0
27897	1
27904	0
27908	0
27912	0
27946	1
27951	0
27955	1
27957	1
27983	1
27990	0
28004	0
28017	1
28020	1
28022	1
28050	1
28053	0
28056	0
28060	0
28110	0
28129	0
28158	0
28167	0
28171	0
28197	0
28218	0
28222	0
28224	0
28251	0
28255	0
28256	0
28268	1
28274	0
28276	0
28277	0
28287	0
28288	0
28299	0
28302	0
28317	0
28325	0
28331	0
28337	1
28342	1
28354	0
28364	0
28369	1
28379	1
28389	0
28393	1
28403	0
28426	0
28435	0
28439	0
28441	0
28456	1
28458	0
28459	0
28462	1
28470	1
28472	0
28476	0
28482	1
28490	0
28500	0
28508	0
28525	1
28540	0
28543	0
28545	1
28548	1
28559	1
28571	0
28576	0
28583	1
28591	0
28594	0
28606	0
28610	0
28611	0
28617	0
28642	0
28655	0
28660	1
28678	0
28682	0
28688	0
28693	0
28698	1
28699	0
28707	0
28709	0
28712	0
28715	0
28719	1
28723	0
28727	0
28742	1
28747	0
28749	0
28753	0
28765	1
28779	1
28792	0
28811	0
28819	0
28822	0
28828	0
28840	0
28842	0
28849	0
28850	0
28851	0
28854	0
28859	0
28879	1
28880	0
28882	0
28894	0
28895	0
28905	1
28907	0
28915	0
28916	0
28929	0
28930	0
28953	0
28965	0
28972	0
28973	0
28985	0
28994	0
29006	0
29014	0
29017	1
29020	1
29030	0
29039	0
29041	0
29056	0
29058	0
29082	1
29083	0
29093	0
29095	0
29099	0
29103	0
